date,cases
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,1
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,1
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,1
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,1
2020-02-28,3
2020-02-29,1
2020-03-01,1
2020-03-02,0
2020-03-03,3
2020-03-04,2
2020-03-05,1
2020-03-06,4
2020-03-07,4
2020-03-08,2
2020-03-09,10
2020-03-10,25
2020-03-11,44
2020-03-12,35
2020-03-13,19
2020-03-14,15
2020-03-15,48
2020-03-16,41
2020-03-17,31
2020-03-18,65
2020-03-19,74
2020-03-20,53
2020-03-21,67
2020-03-22,60
2020-03-23,41
2020-03-24,53
2020-03-25,53
2020-03-26,58
2020-03-27,49
2020-03-28,53
2020-03-29,47
2020-03-30,61
2020-03-31,72
2020-04-01,99
2020-04-02,104
2020-04-03,133
2020-04-04,57
2020-04-05,87
2020-04-06,146
2020-04-07,129
2020-04-08,96
2020-04-09,104
2020-04-10,58
2020-04-11,43
2020-04-12,58
2020-04-13,93
2020-04-14,126
2020-04-15,103
2020-04-16,90
2020-04-17,97
2020-04-18,51
2020-04-19,53
2020-04-20,115
2020-04-21,93
2020-04-22,104
2020-04-23,100
2020-04-24,71
2020-04-25,71
2020-04-26,57
2020-04-27,98
2020-04-28,121
2020-04-29,97
2020-04-30,68
2020-05-01,39
2020-05-02,50
2020-05-03,56
2020-05-04,106
2020-05-05,103
2020-05-06,77
2020-05-07,85
2020-05-08,68
2020-05-09,43
2020-05-10,19
